Trade name,INCI,Other designations,Other preservative trade names,CAS#,Type,Formula layer,Organic formulation,Butter type,Preservative type,Surfactant type 1,Surfactant type 2,Plant part,Process,Scent,Perfume note,Color,Presentation,Appearance,Melting point °C,Viscosity,Density,Saponification value,Acid value,Molecular weight,Description,Composition,Characteristics,Functions,Aroma-psychology - promotes:,Aroma-psychology - counteracts:,Properties/actions,Uses,Type of formulation,Mask usage,Solubility,Solidifies at,Temperature stability,Absorption rate,Iodine value - highest,Iodine value - lowest,Iodine value,pH as supplied,Application pH,Stable within a pH range of,Recommended dosage,Heat sensitive,Formulation tips,Heat and hold,Hazards / Safety data,Shelf life,Storage,Conservation tips,Co-X,Interchangeable with,Use with suggested chelator,Use with following preservatives,Compatibility with other surfactants,Incompatibility,Attention,Docs.,Photo(s),Link #1,Link #2,Studies,Stock,Notes,Alpha-Linolenic Acid avg,Arachidic Acid avg,Arachidonic Acid avg,Behenic Acid avg,Brassic Acid avg,Capric Acid avg,Caproic Acid avg,Caprylic Acid avg,Eicosadienoic Acid avg,Eicosatrienoic Acid avg,Elaidic Acid avg,Eleostearic Acid avg,Erucic Acid avg,Gadoleic/9-Eicosenoic Acid avg,Gamma-Linolenic Acid avg,Gondoic/11-Eicosenoic Acid avg,Lauric Acid avg,Lignoceric/Tetracosanoic Acid avg,Linoleic Acid avg,Myristic Acid avg,Nervonic Acid avg,Oleic Acid avg,Palmitic Acid avg,Palmitoleic Acid avg,Punicic Acid avg,Ricinoleic Acid avg,Stearic Acid avg,Stearidonic Acid avg,Vaccenic Acid avg,Unsaponifiables avg,Oil high in...,Blends well with,Stock origin,Active matter,Clay type,Safety - Therapeutic status,Safety - Skin irritation,Safety - Skin sensitization,Safety - Skin photosensitization,Dryness,Emulsion type,Use with,pH modifier
Magnolia EO,Magnolia × alba ,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,flowers,steam distilled,"Champagne-like,Floral,Slightly herbal,Sugary",Middle,Amber,,,,medium-thick,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Magnolia.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/H4kt0l5oMti12ytDL4DPQw/GnfFiA5bl_7Tf9EXAWshnC6tB7Vgb44c49OM904pSdm2l_IJjKJ-Lt2bezDQUxP77uvsblh1CPd_t01X_9dzH3qgkINPRDYMsyUe0ByHX9XMZRYTk2zetLpHeGxRGhTG2dbYv3BT5tkrvorU4s02Dw/cABd8pGUChpAYqbA_ggwwUNSKkpN1bnIEKbrzf0DCEE),,,,☠️ Magnolia EO / 109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,China,,,,,,Not photosensitizing,,,,
Mallow - flower,Malva sylvestris,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,"8475.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/gXV4DCBUwlnyZ6T2grLFVg/8Cf1kA4URUnaOOsMak4q1jrPQIhV4Vv5MzGslft1TBA2Q-OcZ1h9XHQo4EF_t043Jki9GDZ2tPBL1Meku0siSvbEDZXhDiZ8a_qpe_ZZKuJwaWjj3jPQEerVcuNilw6f/9SOLcajaxegz4mpGbxa9xlwqioYiUQXHeQsva8lvsrQ),download.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/PJcxSDbXGjt-I6b8r3LOrw/WxKJKEgCL14qGdY8R8RXzXy39E36lYT6-RU9jf78JeKYSJfMTPXXhjKqa74JNPCn4RbGj2rYv1KDn47ZoQZjiPJoUH8pdLxYyHNAADkw-umwzcdOloiIvG1jIRgAksvr/gpLdKt_2BU5L7cGJFbjDuSmp_Qz89xVYDqaZPsFSgj0)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mallow - leaves,Malva sylvestris,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,mallow-leaves.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/fxX0i9aLEN8ZUmF-Aj0wxQ/8jbSACV4nlwDqdrCPlhb_BzCkMLtblysnK37GAaUYF-fi3D4O5emZVcosNuoKf3JE_-OzaijO3AYlxkWz4XS_RyD89H-Aj2CZK2sd3KV8jM-gbdhbJpl_te7kCA_V9zx/9YkyyV_SzmOE9pW3TuUH-bp7Au39icrGHjJaCzEwpcc),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mandarin EO,Citrus reticulata,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,peel,cold pressed,"Citrusy,Fruity,Sweet",Top,Yellow,,,,thin,,,,,"Traveling to an exotic location for the very first time and embracing a culture completely different from your own -- these are the experiences that often shape our lives. Mandarin is the exotic essential oil that makes you rethink your possibilities.

It has a sweet, green and citrusy aroma. Mandarin can inspire pure relaxation. Majestic in its ability to intoxicate the sense, Mandarin can calm anxious minds.

Native to China, Mandarin was given its name by the English because of the color Chinese officials once wore. The small evergreen trees which produces the rich fruit with yellow to deep orange rinds were first brought to the United States in the mid 1800s.

Today, Mandarin trees are primarily grown in Alabama, Mississippi and Florida with some cultivated in Georgia, Texas and California. The peel of the orange is put through a cold pressed method to extract the essential oil which has a thin yellow consistency and blends exquisitely well with Ginger and other delightful citruses.

Contains gamma-terpinene, a constituent that acts as a preservative in most carrier oils.
(Edens Garden)",,"Moderate intensity scent,Poor persistence scent",preservative,"calm,vitality","anger,anxiety,conflict,depression,depression with anxiety or agitation,emotional frustration,emptiness,grief,guilt,insomnia,irritability,melancholia,mood swings,negative thoughts,negativity,nervous tension,palpitations,poor discernment,stress,trauma","antibacterial,calming; soothing,invigorating,relaxing,repairs scar tissue,uplifting","acne-prone skin,combination skin,fungal infections,oily skin,scars,stretch marks,viral infections",,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Mandarin.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/HbbCohoqRQpyLATyt1nk3Q/M8SVPGHxSsZ0175FOB5g6zepefqlASXlNgEc4aBUSXxT2uFax203Hb8dwVs0KLKZoUB99_8JxJWAewPlH6j_PcDP3_g-zQcFOoCW0cQMfXG1euzRd6Ix6wXavqW9kxJqa5zZaUIBXTrnEiqAZ-TTpA/60r59QNfnqVOPjzh5O8udxl-iAuK0t30983zyRxvPs4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Moderate,Not photosensitizing,,,,
Mango butter,Mangifera Indica (Mango) Seed Butter,,,,Butter,Foundation,,Semi soft,,,,,,"Delicate,Mild,Sweet,Unobtrusive",,Pale yellow,,Hard butter at room temperature; liquid above 40 °C.,35˚C,,0.87,178-200,,,"Essential butter known for its nourishing and softening properties and very used in the preparation of hair care, it brings shine to the hair and prevents the formation of forks.

The mango is a tree native to India and Burma , up to 40 meters high.

Today it is grown in all tropical countries , mainly for its fleshy fruits .

The juicy and fruity flesh of mangoes is very appreciated for its pleasant sweet taste (it is made of sorbets, compotes, chutneys ...) and for its high energy intake (it is particularly rich in vitamin C).

At the heart of the mango is a  flat kernel containing  a  seed  (or almond) which, when  pressed , produces a  butter  much less known than the rest of the fruit. This butter, however, gives an incomparable texture to your emulsions. Incorporated into your preparations, it leaves your skin soft , supple and firm . Rich in iso-stearic acid, it is the ideal ingredient to make your hair care : real ally damaged hair , rough or frizzy , Mango butter brings its shaping action with scales, shine to the hair and helps prevent the formation of lashes .

(Aroma-zone)","Other active constituents :

Unsaponifiable (2 to 5% of the overall composition) of which:

Phytosterols (including beta-sitosterol, campesterol, avenasterol): improve the barrier function of the skin and microcirculation, slow skin aging, anti-inflammatory.
Oleic alcohol: emulsifier and emollient
Squalene : helps regenerate the lipid cement of the stratum corneum (squalene is naturally present in the skin and sebum).
Polyphenols (including catechin, epicatechin, propyl benzoate): powerful antioxidants, free radical scavengers, help restructure the skin by stimulating collagen synthesis.","Creamy,Light texture,Melting,Non-greasy",,,,"anti-aging,anti-inflammatory,anti-oxidant,emollient,hair nourishing,helps stimulate collagen synthesis,hydrating,improves hair strength,improves skin elasticity,moisturizing,prevents dehydration,protecting,skin nourishing,softening,soothing","add shine to hair,after-sun,chapped lips,damaged hair,""damaged, coarse, coily or frizzy hair"",dehydrated skin,dry hair,dry skin,dull hair,hair shine,hand care,helps prevent split ends,mature skin,premature aging,split ends repair,thin hair","Body butter,Body cream,After sun products,Massage balm,Lipsticks,Hand care,Firming products,Shampoo,Conditioner,Hair mask,Hair balm",,,,,Fast,,,,,,,,❌,,,,,,,,,,,,,,,mango butter.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/qNP1g3WxSHKzZApY68K1lw/KtYQ3UXffDOc7xoqyRRHaWrw3N0zWM7FjP7EO6z5Q9Kp0uFtKUxS6OiVQcXUlTKZAFJPbZn1jjhbVM7H3yg1ZYlQICM3IbBorblOo8itd70/esUL7FB9pKRA6TtIVPmcXvIWZVxTB2s0izX1n0r38W0),,,,☠️ Mango butter / 45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,India,,,,,,,,,,
Mangosteen extract,Water & Glycerin & Garcinia Mangostana Fruit Extract,,,,Active,Active botanicals,Accepted,,,,,,,,,Dark red-brown,Liquid,Reddish Brown Slightly Viscous Clear Liquid,,,,,,,"Exotic fruits from “the far corners of the globe” have become one of the newest trends for incorporating bioactive functions into cosmetic and personal care ingredients. Mangosteen (Garcinia mangostana) is a tropical evergreen tree that originated in the Sunda Islands and Moluccas (part of the Malay Archipelago Islands). The superfruit trend is one of the largest growing segments in the cosmetics industry.

Today, Mangosteen trees are cultivated in the Asia, Central Africa, Hawaii and Puerto Rico. After the tree reaches 15 years of age it begins to produce a fruit with a deep red/purple rind the fruit consists of white fleshy aril pods, which resemble a peeled tangerine. Although the fruit is considered to be a delicacy with a flavor that is characterized as a blend between citrus and peach, it is said that the fruit is relatively devoid of nutrients. The reddish purple pericarp however is rich in garcinol and mangostin, which are both xanthones. These phenolic compounds exhibit antioxidant properties, which may provide protection from extrinsic signs of damage caused by reactive oxygen species. FSS Mangosteen Extract G is an aqueous solution that is appropriate for use in skin and hair care applications.
(FSS)

It is also used in Thailand as a medical plant for the treatment of skin infections and wounds. (Nakatani K, Nakahata N, Arakawa T, Yasuda H, Ohizumi Y. Inhibition of cyclooxygenase and prostaglandin E2 synthesis by gamma-mangostin, a xanthone derivative in mangosteen, in C6 rat glioma cells. Biochem Pharmacol. 2002;63:73–79. - https://www.ncbi.nlm.nih.gov/pubmed/11754876",,,,,,"anti-oxidant,hair and skin conditioner,helps maintain hair hydration,reduces wrinkles,skin hydration","acne-prone skin,anti-aging,mature skin,premature aging,redness; rosacea; blemishes,wrinkles",,,Water,,,,,,,,,,1 - 10%,❌,,,,,,,,,,,,,,,mangosteen.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/VOPci10XBsVDFGbdgzAGkg/VJMLPEO0Ad3H-1HuRDu4okvJjQiv8VONJif3Bj5CMyRO7H0crZXLjCIzPg8fk5tTdr-KgyfU_U2imIb6nptGtlc7gkX8br2cKpc5zGuNfrY/2yAp1IlCzWtPF73U_WfWwbSUDvKwrEGBqE31CmJ7rjA),,,,☠️ Mangosteen extract / 289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mangosteen Oil,Garcinia Mangostana Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,cold pressed,,,"Golden yellow,Light orange",,,,,,,,,"The superfruit trend is one of the largest growing segments in the cosmetics industry. These fruits are recognized not only for their health and cosmetic benefits, but also for their unique marketing appeal. Mangosteen fruit is a rare superfruit that is found in Southeast Asia. Many researchers know mangosteen Fruit as the “Queen Of Fruits” due to all the cosmetic benefits for humans and its many uses.

Mangosteen is from a tropical evergreen tree, it naturally grows in Southeast Asia and parts of Southern America. Mangosteen is promoted for its anti-aging properties. Because of its ability to stabilize cells, it also contains the ability to maintain the healthy appearance of skin and provide hydration benefits.

FSS Mangosteen Oil is an ideal oil for use in exotic products designed to provide unique hydrating, conditioning and moisturizing benefits to skin and hair. ",,"Fast absorption,Non-greasy",,,,"anti-inflammatory,anti-oxidant,reduces wrinkles,skin hydration,skin toner","acne-prone skin,age spots,anti-aging,mature skin,premature aging,wrinkles",,,,,,Fast,,,,,,,,❌,,,,,,,,,,,,,,,mangosteen.jpeg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/BIokqZj7R0k04_4kSuTC4w/77fmPf3Sb_A4CUvDz4irBaGcgP4azAHjZhWHgSiBHj9xC9i8WrBtrBaS1-td2JYm7Z2NLwf1Ng-ZZvniRK9PbJNiwcHA6qTe5kxUlAFP9Eo/SuOdpOTZ4t_7SaOeVttQdbUBrGhfb1s5he2zKdlXQ9g),,,,☠️ Mangosteen Oil / 290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Southeast Asia,,,,,,,,,,
Manuka EO,Leptospermum scoparium,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Manuka.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/i4iBRlysf7tKG1SMN7wcbg/FLUNoSuSAEIMLFstTYCIgcaezjqwKVRdCr8iqCpsLe8CTxFlzoLdjtFAERyOmyCh1z-Hnj0bfCffmOjXgtNWhL1mlPueDL1EP_8do1h6pi0yV6bgekzNZtJ-OwD3YurKoVBUVks0slgcm5kdtm-Qyw/cRLBerbIAn9XqUa6WctqobMm5pSit4mu5j1zecVq50o),,,,☠️ Manuka EO / 110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Marigold,Calendula officinalis,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,2017-07-02 22.36.54.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/MyOvqzUlHZTYttCRIXavgg/9vsgTXNp35Kajyh8nuRZleXGjAj00R_ndV7QDgGgtD_EhY3u4QQuogLxpSZpNUdjL-A-kJ-408OJvvNO7dLbUq4N3aq9yvo5aDiU7I5l4QI/Sv6nSqYrlO49LkfUP1rwkKbf4tDBfuIJk-fk6arPNS8),,,,,"“What it does: The bright yellow to orange flower of calendula is renowned for its skin-healing properties. Calendula has antimicrobial and anti-inflammatory properties, making it especially healing for wounds, burns, and damaged or problem skin. It is gentle enough for all skin types. The lovely, soothing, golden oil made from the petals is often used in lotions, creams, salves, and lip balms. A strong infusion is used for brightening golden and strawberry red highlights. Because of its gentleness, calendula is a favorite herb in infant and children skin care products.”

Excerpt From: Gladstar, Rosemary. “Herbs for Natural Beauty.” Storey Publishing, LLC, 2014-10-06T14:55:14Z. iBooks. 
This material may be protected by copyright.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marjoram (Sweet) EO,Origanum majorana ,,,,Essential oil / CO2 / Absolute,Aromaceutical,,,,,,"flowering plant,leaves",steam distilled,"Camphoraceous,Dry,Fresh,Herbaceous,Medicinal,Soft,Sweet",Middle,Clear,,,,thin,,,,,,,"High intensity scent,Medium persistency scent",,"balance,calm,comfort,courage,focus,perseverance,self-confidence,sincerity,strength","anger,anxiety,confusion,depression with anxiety or agitation,disconnection,distraction,fear,insomnia,irritability,moodiness,negativity,nervous tension,palpitations,panic,restlessness,stress","antibacterial,antifungal,calming; soothing,hyperpigmentation; skin lightener,sedative","acne-prone skin,candida infections,eczema,hyperpigmentation,oily skin",,,,,,,,,,,,,,❌,,,Not to be used during pregnancy and lactation.,,,,,,,,,,,,Marjoram (Sweet).jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/u6sTcGC_6RPgYvyAkJorBg/nNCPq8st7I8pkr4Iba_WBGjBqwNxYtUjtXPDOgNFFz3Z8FhxwSRsSE3aU9uegQ54xSx1PWmilnE-kaQvw8eEuEJslg3HJ9vJyKTub8yYQeBeCfgMjiC4lzOu6b742NqXwTReg7SPengKVtJpxcT9IQ/nb-zzzJ0Go0N2K0kA7SO8kX1799NSEIJn9jd7Qkj5aQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Not photosensitizing,,,,
Marshmallow root cut,Althaea officinalis,,,,Dried botanical,Active botanicals,Accepted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,❌,,,,,,,,,,,,,,,Frontier-Co-op-Bulk-Marshmallow-Root-CS-Organic-886_7.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/bOjfRk2T2R10zhXLGussQw/SxRgI5KMa2JCKs5Slnh0EyuG9k1XtOyYHhJ5OjBiVvZUt5fXsytmmTvMJLPBmOpapsxXTDQ_zHsbxoIab4oQxM3EEqTc5kGMIfCMPHKTE2t4RwU3xC1fEjva-O5gP7Is/FgCrLrXTQmHvKKob0jqnKkYk9MRP9Akr5hLyvkYOYK8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marula Oil,Sclerocarya Birrea (Marula) Kernel Oil,,,,Vegetable oil,Foundation,Accepted,,,,,seeds,,Nutty,,"Light yellow,Brown yellow",,,,,,,,,"Marula oil is another favorite of mine, make sure you buy Organic or wild crafted, cold-pressed. This oil is a great companion to argan oil because it picks up where argan leaves off. Not only does marula oil diminish fine lines and wrinkles, but it promotes elasticity by stimulating collagen production. It is also great at reducing the appearance of scars and pigmentation. High in vitamin C & E, it's loaded with anti-oxidants and boots skin natural ability to regenerate.
(argan-republic.com)",,Stable to oxidation,,,,"conditioning,Imparts smoothness,improves complexion,reduction in transepidermal water loss","burns,wounds; scratches",,,,,,,80,70,70 - 80,,,,,❌,,,"It has been shown that there is a connexion between the high content of oleic acid in triglycerides and the decreased lipid barrier function of the stratum corneum. Long-term application of pure marula oil is therefore discouraged, especially in infants. (Modern Cosmetics - Ingredients of Natural Origin, Vol. 1)",,,,,,,,,,,,Marula Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/FlbUnR3WKs8KKB-HxPcLLA/Ee0avZhqvCthCWw6rtZK9OkK-DbF_l4O-FfFdcRdVQcA4whpm4FjipXHT081OVbbb6Pb0ygHVf1VvduisFcAv3bPuF9cJ1Mx2SIrC_9vPvQZ66DBpP-7fJZNlO6EHkunlJ9Co7CKFTnSWyIkmIlg8w/D_u6kWHYx0X3o4bt-GyWhWnmZ9a4w0dqND1zDjsfZm8),,,,,,4,0.5,,,,,,,,1,,,0.5,,,,,,6,1,,74,10,,,,8,,,0.4,Oleic Acid,,,,,,,,,,,,
Matmarine™ Blue Ingredient,Bacillus Ferment & Saccharomyces Ferment Filtrate,,,"7732-18-5, 54-21-7",Active,Active botanicals,Accepted,,,,,,,,,Clear,Liquid,Colorless to yellow transparent solution,,,,,,,"Matmarine™ Blue Ingredient is another great product from Lipotec formulated to reduce sebum production, which helps control oil buildup and shine on oily or acne-prone skin. Matmarine™ Blue Ingredient is derived from the ferment of a certain type of bacteria strain, called Pseudoalteromonas, known to have strong anti-aging properties in many skin types, and is widely used in the skincare industry in many different products. 
In testing, 22 Caucasian female volunteers with combination skin were given a cream containing 2% Matmarine™ Blue Ingredient, and applied to half their face, while a placebo cream was applied to the other half. Using a light reflectance principle, a 28.3% reduction in skin gloss was observed immediately, and the mattifying effect was maintained after a 2 hour and 8 hour evaluation.

In another testing environment, 20 female volunteers from ages 20-35, with both oily and Asian skin, were given a cream containing 3% Matmarine™ Blue Ingredient to apply to the face twice a day for 28 days. The number of active follicles and their total surface were studied using a sebum-sensitive adhesive film. At the end of the study, the number and total surface of active follicles were 9.5% and 27.2% lower.","Water (Aqua) Up to 100%
Pseudoalteromonas Ferment Extract 22.5 – 27.5
Sodium Salicylate 0.45 – 0.55",,,,,"mattifier,reduces the appearance of pores,sebum regulator,stimulates collagen I synthesis",oily skin,"Emulsions,Creams,Micellar water,Makeup remover,Anti-aging products,Foundation",,Water,,,,,,,3.2 - 4.7,,,2% - 5%,❌,,,,24 months from date of manufacture if stored correctly,room temperature,,,,,,,,,"marketing-brochure-matmarine-v2.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/xKYUTJXC7sO8I1rBfT_Crw/kUMtdMVGPL7kRxVNU7fU14rvC3QAAwbLjCWdOk5ecVFjPCJz6_WK28pJpKjxP-VUUPfB47mzqJkO0IIWU5GqH0YLlyLcr3EUf5NQWJEZqWHRO5v7JZX40ZM84u5DP1QT/Ryfzy7iQenS-FpcrjFtqBv2qli_K_cfbF9RRvzCmbjM),Product_information-bi050-matmarine-blue-ingredient-en-442918.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/r20ViUSkPCXC6gNIZBcM1Q/6d4rrCxVXMzuI6fGm-w9xaU19jKX3ULfeGLn9tvgDtdYGzsqsWBNQ_bA2p9gwIuMU0qvS44cYP96Ug_3wU2EkzMIhhxbzsJUVrPB9tH4Vrut2doikgDO7bqgSz8bugvQw_t-4SmkR0ycQKxUmtdVsnhTDEw45LuEgEeBTx3iWX0/D4WHQ89CS-LcP0jf0_q777PrJctdIRkhUgmGvmGSGIU),sds-matmarine-blue-v.3.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/oWZNEKjmIup-E6Wxebw2Gg/Pn4q0vChdRy-BaBcQ98_llfRxLrg8NVhml6dM9bcSkVFK4sYF8ZOwW15_WjCXlaXDYeRM1dYGUIqLPInH5BF-CKVA2aM4CvyGmOwE01eFVgVFbS2rL4bDuMXfaND_wCb/mpcnAOeFVHz1768hykh6dZmtuDIB-Ig8bE70Y-z8Kk0),Specification_Sheet_-_Matmarine_blue_ingredient.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/W1XaB3qAffageUZg_Ahsxg/YRZIUU7oHcDbbqEK2H6RwKcX33beKKPwe4joWaqMmHzeCTDIiS72Do3tklVPcioqyNZD21NnbBPQFtqJvlGOZjKizCPltEymcHi6E6zcMM1-XTy1IPSSn8IfCj-24RgJ53JjmduzTX8jeoUH5zrgMA/GLzvt_uyFObnm7MYeOOzy4IbJrY4zwmA20mW_LMrxzo)",,http://www.lotioncrafter.com/matmarine-blue-ingredient.html,,,☠️ Matmarine™ Blue Ingredient / 346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spain,,,,,,,,,,
Meadowfoam Seed Oil,Limnanthes Alba (Meadowfoam) Seed Oil,,,,Vegetable oil,Foundation,Accepted,,,,,,,Light,,"Pale yellow,Clear",,,,medium,,,,,,,"Non-greasy,Very stable regarding oxidation","fixative,stabiliser,anti-oxidant",,,"emollient,moisturizing,soothing",,,,,,,Fast,102,90,90 - 102,,,,,✅,,,,,,,,,,,,,,Meadowfoam-stability.pdf (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/hF-pma9CzFEGNajoQHdIcw/9f5OAS_bcr-R8ZQBXMcxDPacuaqvYXN9-MpjIk0L22zXZolv_0t4Xys6datvK4GnsPORZIdWlUDEXrptBOPvOCRn_WBtNzwWjm1KqqdGzSI7DV-Jp8kRV88PbVcEs8igvoyUAzQ8Kha-CSNlYlivPPUGc9B4xEoQd9FP534IznM/-R_V2aPtAbk0BYlA2Wm6ccqDZdWj9Jx0XuzY0-8u_8k),Meadowfoam Seed Oil.jpg (https://v5.airtableusercontent.com/v3/u/28/28/1713765600000/AharU428whfELrc17wrF4Q/8BDh1KJVE4o0Q_wwH5AKsrEdKlhUP4Kji7mFKLOfuP2ElTOIFXvuuk2mkw6vv3YgXJHI0Ha6cvLYusUSD3r9TV7wUC0UTh8_V8kIh8hHhOM0u-Md7osTDLOHJm_vXoN3Qo4azyxK4-0IfGkQTJgofj3_9YhkNctA2E4LJMpZ7Dc/X-zLikm_7ZoIldDiuohLeKgV4jvzA_xM5wT6vfmzr_4),,,,☠️ Meadowfoam Seed Oil / 261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,United States,,,,,,,,,,
